#,coin_id,name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,circulating_supply
70,5899,Casper,CSPR,0.05,-0.0252,0.3987,6.5024,11043273139
39,18876,ApeCoin,APE,3.27,-0.0090,0.4510,-4.8611,368593750
57,4558,Flow,FLOW,0.76,-0.1186,0.8412,1.8151,1036200000
66,1518,Maker,MKR,649.91,0.2389,1.8019,4.3551,977631
78,4705,PAX Gold,PAXG,1962.04,-0.0859,-0.2337,-1.1862,263075
61,4066,Chiliz,CHZ,0.10,0.0830,1.5483,-1.2122,7000647158
9,3890,Polygon,MATIC,0.93,-0.3928,0.3604,8.7368,9279469069
79,6953,Frax Share,FXS,6.98,-0.2595,-0.1472,-1.9916,72195900
65,3602,Bitcoin SV,BSV,33.02,-0.0825,0.4198,-5.2365,19266077
81,131,Dash,DASH,43.50,0.2295,1.8999,-0.5087,11299782
50,6892,MultiversX,EGLD,36.81,0.2825,1.1335,1.2386,25481123
25,512,Stellar,XLM,0.09,0.3084,0.8764,1.3299,26803755458
69,3306,Gemini Dollar,GUSD,1.00,0.0270,0.2868,0.4128,575692919
12,2,Litecoin,LTC,91.34,0.1566,1.6818,0.0184,73025127
55,4847,Stacks,STX,0.63,-0.3162,3.2586,-0.1892,1382092651
2,1027,Ethereum,ETH,1904.58,0.0330,2.9965,5.0859,120254303
75,20947,Sui,SUI,1.04,0.2156,3.1587,-2.1851,528273718
35,11841,Arbitrum,ARB,1.25,0.1544,4.0269,11.0451,1275000000
4,1839,BNB,BNB,315.34,0.1852,2.2666,2.6359,155857045
21,7083,Uniswap,UNI,5.15,0.3674,1.3391,0.5665,577501036
6,52,XRP,XRP,0.48,-0.2191,1.7493,3.5898,51983386003
7,2010,Cardano,ADA,0.38,-0.1318,1.8783,4.5770,34879100876
8,74,Dogecoin,DOGE,0.07,0.0042,0.8425,1.9670,139541996384
10,5426,Solana,SOL,20.75,0.0575,1.1677,5.0483,396463188
22,328,Monero,XMR,155.41,-0.5499,2.0216,3.3117,18284922
13,6636,Polkadot,DOT,5.50,-0.0006,2.2213,3.6390,1188613860
14,4687,Binance USD,BUSD,1.00,-0.0069,-0.0250,0.0104,5276149019
15,5805,Avalanche,AVAX,14.79,-0.0116,0.1731,2.7867,334614751
16,4943,Dai,DAI,1.00,-0.0134,0.0063,-0.0382,4821202675
17,3717,Wrapped Bitcoin,WBTC,28016.38,0.0494,3.1235,4.2214,156449
18,1975,Chainlink,LINK,6.61,-0.0839,1.3695,2.1504,517099970
24,1321,Ethereum Classic,ETC,18.46,-0.1778,0.8885,2.6145,141181642
19,3957,UNUS SED LEO,LEO,3.55,-0.0283,1.3041,-0.2562,930250451
20,3794,Cosmos,ATOM,10.87,0.0038,2.3548,3.8541,286370297
33,4642,Hedera,HBAR,0.05,0.1150,1.3335,1.3236,31459374375
23,3897,OKB,OKB,47.03,-0.4511,0.3459,3.0939,60000000
30,2280,Filecoin,FIL,4.67,-0.0101,2.7239,6.2475,426939897
40,4030,Algorand,ALGO,0.15,0.3333,0.7397,-6.0228,7241921553
83,5964,Trust Wallet Token,TWT,1.10,0.3637,0.0041,2.5924,416649900
26,11419,Toncoin,TON,1.91,-0.3465,-0.9799,4.5525,1221401181
29,2563,TrueUSD,TUSD,1.00,-0.0293,-0.0298,0.0122,2054442306
80,11857,GMX,GMX,56.55,-0.0202,1.8490,-5.2311,8750783
34,3635,Cronos,CRO,0.06,-0.2863,0.5446,-2.3700,25263013692
52,1966,Decentraland,MANA,0.48,-0.0450,1.1739,0.6725,1878271532
32,21794,Aptos,APT,8.44,0.2775,1.1549,3.8758,198613630
38,3155,Quant,QNT,107.55,0.4250,5.7305,5.0385,12072738
48,11221,BitDAO,BIT,0.51,0.3603,-0.4641,0.7321,1843669853
84,2634,XDC Network,XDC,0.03,0.0257,0.6536,0.2532,13839050832
36,6535,NEAR Protocol,NEAR,1.65,-0.1963,0.5903,2.3523,910335695
37,3077,VeChain,VET,0.02,0.0110,1.0917,7.2697,72714516834
41,6719,The Graph,GRT,0.12,0.5935,2.6389,4.5599,8992453971
45,5690,Render Token,RNDR,2.63,1.2825,-1.2193,9.9929,366385484
43,3330,Pax Dollar,USDP,1.00,-0.0068,0.3148,0.6791,1019052716
54,2011,Tezos,XTZ,0.93,-0.5683,3.1188,4.3297,939515441
42,6210,The Sandbox,SAND,0.55,-0.0820,3.5629,6.6191,1853581926
44,1765,EOS,EOS,0.90,-0.2736,-1.7340,5.0321,1092393009
46,7278,Aave,AAVE,67.99,-0.2864,2.1520,6.5659,14399262
47,3513,Fantom,FTM,0.34,-0.1807,2.7273,-5.0917,2789160808
49,2943,Rocket Pool,RPL,49.15,0.0673,3.0093,-0.1907,19401717
58,1376,Neo,NEO,11.29,0.8583,4.6342,21.1948,70538831
68,4256,Klaytn,KLAY,0.19,0.1657,2.0537,8.4472,3096876559
60,2087,KuCoin Token,KCS,7.49,-0.2564,0.2685,2.0937,96974735
71,1720,IOTA,MIOTA,0.20,0.1069,1.9275,12.1765,2779530283
56,6783,Axie Infinity,AXS,7.15,0.1746,1.0097,4.4486,116956495
85,7950,Flare,FLR,0.03,-0.3253,0.4408,-6.6066,16520791989
74,1437,Zcash,ZEC,33.96,-0.0261,2.1096,6.1856,16328269
64,2586,Synthetix,SNX,2.44,-0.3148,0.1870,2.8907,260095254
63,10603,Immutable,IMX,0.77,0.4251,3.3022,7.6645,914163546
62,6538,Curve DAO Token,CRV,0.86,-0.0024,0.1858,1.4279,818748713
67,4846,Kava,KAVA,1.14,-0.0576,1.4277,8.1409,541865610
72,7226,Injective,INJ,7.27,2.8163,10.6443,5.2065,80005555
27,1831,Bitcoin Cash,BCH,115.89,-0.0636,1.2407,1.2825,19404638
82,4269,GateToken,GT,4.85,-0.0382,1.8102,-1.0641,97786861
73,11840,Optimism,OP,1.63,-0.3433,0.9576,0.7435,335376391
11,1958,TRON,TRX,0.08,0.0430,0.3816,3.8061,90266072141
145,2300,WAX,WAXP,0.06,-0.0983,1.4235,-0.3654,3309459117
89,7501,WOO Network,WOO,0.23,-0.0659,2.2930,2.8483,1698042039
121,4279,Solar,SXP,0.40,0.0150,0.9792,-4.5082,565953043
112,3822,Theta Fuel,TFUEL,0.04,0.1731,1.2512,-0.3668,6153194251
156,8119,SafePal,SFP,0.42,0.2998,2.1698,1.4249,369666536
141,1896,0x Protocol,ZRX,0.23,0.0440,2.4610,3.1544,847496055
128,5864,yearn.finance,YFI,6715.11,0.1946,2.1504,2.0802,32980
126,5034,Kusama,KSM,26.05,-0.0489,0.6478,3.6939,8470098
95,1697,Basic Attention Token,BAT,0.23,0.1494,1.5914,3.2591,1489138514
147,2299,aelf,ELF,0.29,0.0119,1.8094,2.6598,621469972
161,5617,UMA,UMA,2.03,-0.1141,0.9318,0.1303,71290773
127,3911,Ocean Protocol,OCEAN,0.35,-0.2539,-1.3311,7.8200,613099141
101,1659,Gnosis,GNO,117.97,-0.0151,2.3308,3.0315,2589588
100,13855,Ethereum Name Service,ENS,10.66,-0.0341,1.2932,5.6681,28552736
99,7653,Oasis Network,ROSE,0.05,-0.3422,1.5253,2.2020,5725718533
110,3783,Ankr,ANKR,0.03,0.4168,3.9947,5.1987,10000000000
142,24613,Open Campus,EDU,1.40,-1.1219,16.4213,25.7212,145117470
87,4157,THORChain,RUNE,1.17,-0.1249,2.0588,5.1585,331144268
94,2130,Enjin Coin,ENJ,0.34,0.0417,0.5174,0.5431,1000000000
92,8536,Mask Network,MASK,4.73,-0.7548,9.8982,8.7942,80125000
90,2424,SingularityNET,AGIX,0.31,-0.3804,-2.2140,15.1234,1219881811
91,2469,Zilliqa,ZIL,0.02,0.0284,0.6027,1.7215,15867699447
97,7186,PancakeSwap,CAKE,1.78,2.3925,14.1237,-1.3476,209166785
93,9903,Convex Finance,CVX,4.61,0.1349,2.4799,1.7120,77522939
96,8104,1inch Network,1INCH,0.40,-0.0589,0.2292,1.3498,817241568
98,11156,dYdX,DYDX,2.09,0.0663,1.3025,1.0778,156256174
130,3773,Fetch.ai,FET,0.26,-0.1352,-0.3778,9.3538,819745217
132,1455,Golem,GLM,0.21,0.0223,1.4920,1.1240,1000000000
133,5488,JUST,JST,0.02,-0.0611,0.7894,0.2032,8902080000
117,2099,ICON,ICX,0.25,-0.0694,1.5410,-0.7668,958321841
105,1684,Qtum,QTUM,2.79,0.0324,1.3947,8.7768,104675632
153,21846,SPACE ID,ID,0.50,-0.6536,1.2568,6.8579,322972222
104,12220,Osmosis,OSMO,0.59,-0.0282,2.0395,-1.8244,492590761
103,873,NEM,XEM,0.03,0.0438,2.7663,2.4315,8999999999
136,14783,MAGIC,MAGIC,1.05,-0.0790,10.0104,17.0886,215662829
108,5692,Compound,COMP,36.46,0.4612,2.9122,5.3932,7469324
109,5728,Balancer,BAL,5.39,0.4609,1.8643,1.4545,49729720
107,5567,Celo,CELO,0.53,-0.0432,-1.4098,3.1920,498369748
111,9258,Chia,XCH,34.65,-0.1986,0.3652,-1.7175,7456918
163,1680,Aragon,ANT,3.63,1.3196,3.3567,5.1997,40029852
129,7080,Gala,GALA,0.03,-0.0474,0.9438,3.1997,6977205436
114,1168,Decred,DCR,16.75,-0.0839,1.1974,0.1837,14981267
115,23121,Blur,BLUR,0.52,-0.5337,0.4589,11.9422,480627035
144,4679,Band Protocol,BAND,1.46,0.0524,0.3708,1.2088,126055808
118,12999,ssv.network,SSV,23.91,-0.0447,3.6743,-0.6719,10000000
134,3945,Harmony,ONE,0.02,-0.0801,1.0304,-1.7525,13289848572
119,18069,STEPN,GMT,0.27,-0.3206,0.6858,-0.3808,864763597
120,5632,Arweave,AR,6.89,-0.1440,1.0876,3.2022,33394701
122,17751,Threshold,T,0.03,0.0026,0.7493,-1.7428,8706041039
140,6758,SushiSwap,SUSHI,0.87,-0.0099,2.0661,-1.5456,230394980
171,17799,Axelar,AXL,0.47,0.1556,2.5385,1.6308,274118302
125,2083,Bitcoin Gold,BTG,12.77,0.0739,1.8811,0.7675,17513924
149,5647,Kadena,KDA,0.77,0.0772,1.4238,-0.6940,232024716
146,6836,Moonbeam,GLMR,0.29,0.4310,2.7811,2.6013,644592136
143,8420,DAO Maker,DAO,1.28,-0.1154,0.4133,-5.5876,143942531
124,21296,EthereumPoW,ETHW,2.03,0.0070,-0.8438,0.0994,107818999
131,2777,IoTeX,IOTX,0.02,-0.0168,1.6178,1.5973,9447046510
168,109,DigiByte,DGB,0.01,0.5091,1.4259,1.6130,16259002381
166,7878,MobileCoin,MOB,0.69,-0.4785,0.3499,3.1439,195286109
137,2566,Ontology,ONT,0.23,-0.5256,0.8341,9.0787,875249524
135,5665,Helium,HNT,1.42,-0.0785,0.4942,-0.0350,143934821
155,3801,BORA,BORA,0.16,0.1658,0.9109,-1.7835,993750000
139,1274,Waves,WAVES,1.78,-0.2679,-0.9786,9.3028,111546514
159,3029,Flux,FLUX,0.52,-1.6220,6.3410,6.7433,296937428
157,8719,Illuvium,ILV,49.18,0.1879,2.3191,4.9981,3096057
160,5691,SKALE,SKL,0.03,0.0309,2.5104,2.3651,4509352671
158,23635,BinaryX,BNX,0.51,-0.0284,-0.0030,2.1947,289119100
165,3640,Livepeer,LPT,5.08,0.2125,4.3685,5.3024,28002974
164,3437,ABBC Coin,ABBC,0.10,0.0556,0.0823,-2.0765,1395151661
173,11396,JOE,JOE,0.40,1.1296,10.5291,14.1922,336436965
167,18934,Stargate Finance,STG,0.69,-0.1738,2.2330,13.6251,198395658
152,9543,Biconomy,BICO,0.30,0.1461,0.8250,2.6155,547081671
102,4041,MX TOKEN,MX,2.97,0.3530,0.2959,2.3165,100000000
154,3814,Celer Network,CELR,0.02,-0.0009,1.8984,-1.6534,7622840545
123,12885,Astar,ASTR,0.05,-0.0073,1.5247,-1.4591,4434364404
203,20396,Kaspa,KAS,0.02,-1.0865,-0.0370,13.3638,18796410784
221,2989,STASIS EURO,EURS,1.07,-0.0018,0.2224,0.8292,124125940
253,7232,Alpha Venture DAO,ALPHA,0.12,-0.0385,2.8968,15.9582,774000000
175,1772,Storj,STORJ,0.30,0.0292,1.2067,-0.5688,397684689
205,9566,Liquity USD,LUSD,1.01,0.0073,-0.2144,0.0638,280153607
207,6941,Huobi BTC,HBTC,28794.52,-0.0006,1.8598,4.9948,8969
177,7429,Liquity,LQTY,1.30,0.6601,3.8937,3.3060,92291650
209,14101,Ronin,RON,1.10,0.0020,3.5180,12.6066,219024353
244,20362,Polymesh,POLYX,0.15,0.0153,0.5020,-2.4700,638045538
186,23254,Core,CORE,0.87,-0.0756,1.7492,4.3456,123253859
182,1808,OMG Network,OMG,0.80,0.5093,3.8912,1.7802,140245398
215,20886,Astrafer,ASTRAFER,1.08,-0.1233,1.2661,4.6091,156417090
229,3978,Chromia,CHR,0.15,-0.2476,0.3116,8.6353,686549902
190,2027,Cryptonex,CNX,20.46,0.0479,2.9583,4.2454,107405302
185,1214,Lisk,LSK,0.84,0.1002,1.7364,1.7882,128900445
172,4275,Cocos-BCX,COCOS,1.70,-1.7076,-0.8914,2.1433,71051748
170,5444,Cartesi,CTSI,0.18,0.0295,1.3640,-3.9285,724852268
196,24165,Wrapped Kava,WKAVA,1.44,-0.0084,-0.7131,37.8424,497668960
181,3792,ARAW,ARAW,0.06,-0.9620,14.6566,36.2513,1993576188
180,3489,Escroco Emerald,ESCE,0.12,1.1680,13.1584,28.8871,1000000000
179,1674,Cannation,CNNC,48.75,0.5918,10.0600,24.3438,2476893
242,6843,Radicle,RAD,1.88,-0.1324,-0.8615,-5.5074,49829111
194,6952,Frax,FRAX,1.00,-0.0065,0.0553,-0.0561,1004141409
176,1698,Horizen,ZEN,8.59,-0.1247,1.2329,3.1058,13735912
219,9025,Tribe,TRIBE,0.28,-0.0871,1.0248,0.4748,515574634
251,22461,Hashflow,HFT,0.45,-0.5919,2.4878,6.6302,197190175
178,1637,iExec RLC,RLC,1.58,0.0974,-0.4896,-1.4826,72382548
218,13663,Gains Network,GNS,5.11,-0.4192,2.0060,2.3412,30453619
183,11584,Braintrust,BTRST,0.77,0.2613,-0.4702,-1.7282,141511957
184,9444,Kyber Network Crystal v2,KNC,0.63,-0.0516,1.4824,5.4455,172304090
187,8085,Lido Staked ETH,stETH,1901.38,0.1388,3.8932,5.5340,6818918
188,18579,Wrapped TRON,WTRX,0.08,-0.0810,0.6213,3.8273,101676082428
189,5015,HEX,HEX,0.01,-1.0152,3.9788,-45.3986,173411074413
191,24399,Wrapped HBAR,WHBAR,0.05,-0.1097,0.7566,0.9035,31459374375
237,1567,Nano,XNO,0.72,0.0219,0.6517,1.7079,133248297
192,4023,Bitcoin BEP2,BTCB,28008.68,0.0263,3.1783,4.4351,53804
199,2870,FantasyGold,FGC,7.45,-0.1425,105.9396,974.7023,139659829
